Cod Forn	Item	Unid	Qtde	DESCRIÇÃO	Vlr.Unit.	Vlr.Total	DATA EMISSÃO	Nº Cotação:	Cond. Pagto	TIPO	Posto	Prazo	Validade	Status Pedido	Estoque	observação	Nota Fornecedor
2008	9	PC	4	"Chave fenda VDE 2170 - 4,0 - 91809 - Gedore"	32.15	128.6	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	10	PC	4	"Chave fenda VDE 2170 - 6,5 - 91811 - Gedore"	46.36	185.44	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	11	PC	4	"Chave fenda VDE 2170 - 8,0 - 91812 - Gedore"	54.63	218.52	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	12	PC	4	Chave fenda VDE 2160 PH0 - 91797 - Gedore	29.31	117.24	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	13	PC	4	Chave fenda VDE 2160 - PH1 - 91798 - Gedore	34.25	137	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	14	PC	4	Chave fenda VDE 2160 - PH2 - 91799 - Gedore	42.62	170.48	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	15	PC	4	Chave fenda VDE 2160 - PH3 - 91800 - Gedore	59.93	239.72	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	16	PC	10	Chave combinada 10 mm - 002505 - Gedore	7.73	77.3	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	17	PC	10	Chave combinada 11 mm - 002506 - Gedore	8.04	80.4	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	18	PC	10	Chave combinada 17 mm - 002512 - Gedore	12.3	123	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	19	PC	10	Chave combinada 8 mm - 002503 - Gedore	7.13	71.3	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	20	PC	2	"Alicate corte diagonal 6"" - 84054 - Stanley"	23.3	46.6	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	21	PC	2	"Alicate bico meia cana 6"" - 1531 - Stanley"	23.3	23.3	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	22	PC	1	Alicate aneis externo ponta fixa A0 - 29200 - Gedore	71	71	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	23	PC	1	Alicate aneis externo ponta fixa A2 - 29250 - Gedore 	35	35	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	24	PC	1	Alicate aneis interno ponta fixa J0 - 29275 - Gedore	63	63	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	25	PC	1	Alicate aneis interno ponta fixa J2 - 029270 - Gedore	35	35	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	26	PC	2	Alicate corte diagonal 8301-1E - 30010 - Gedore	76.9	153.8	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	27	PC	2	Sugador com ponta de silicone 	15.3	30.6	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	28	PC	10	"Esquadro Stanley 8"" "	42.15	421.5	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	29	PC	10	Broca centro 5/32 x 7/16 - Vonder 	24	240	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	30	PC	10	Broca centro 1/8 x 5/16 - Vonder 	13	130	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	31	PC	5	"Macho 8x1,25 - - 3 pçs - HT "	25	125	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	32	PC	1	"Chave para tubo mod americano 14"" - Lee"	35	35	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	33	PC	2	Chave allen 6 - Gedore	3.5	7	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	34	PC	2	Chave allen 8 - Gedore	5.5	11	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	35	PC	2	Chave alen 10 - Gedore	5.9	11.8	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	36	PC	1	"Chave ajustavel 18"" - Starfer"	62.85	62.85	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	37	PC	5	Martelo unha profissional 29 - Tramontina 	29.9	149.5	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Sim		
2008	38	PC	5	Marreta 1 Kg - Tekfund	12.45	62.25	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	39	PC	10	Desempenadeira plastica 21x34	7	70	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	40	PC	4	Picareta chibanca 5 lbs - 70x45 - Tramontina 	29	116	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	1	PC	5	Broca anular 1.1/8 - Dewalt	153.9	769.5	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8407-QZ	
2008	2	PC	5	Broca anular 1.1/4 - Dewalt	207.15	1035.75	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8408-QZ	
2008	3	PC	5	Broca anular 1.3/8 - Dewalt	220.6	1103	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8409-QZ	
2008	4	PC	5	Broca anular 1.1/2 - Dewalt	358	1790	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8410-QZ	
2008	5	PC	5	Ponta palito para broca anular - guia - Dewalt	65.3	326.5	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8412-QZ	
2008	6	PC	5	Broca anular 3/4 - Dewalt	95.5	477.5	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8402-QZ	
2008	7	PC	5	Broca anular 7/8 - Dewalt	134.8	674	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8404-QZ	
2008	8	PC	5	"Broca anular 1"" - Dewalt"	134.8	674	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8405-QZ	
2008	9	PC	5	Broca anular 1.9/16 - Dewalt	357.88	1789.4	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8410-QZ	
2008	10	PC	5	Broca anular 1.3/4 - Merax	448.89	2244.45	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	BA4525	
2008	11	PC	5	Broca anular 1.7/8 - Merax	487.52	2437.6	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	BA4725	
2008	12	PC	5	Broca anular 2' - Dewalt	519.83	2599.15	40480	13	28/56/72 dias 	DDL	CIF	10 a 30 dias 	10 dias 	Concluido	Não	DT8411-QZ	
2028	1	PC	1	Caixa metalica p/ Ferramentas c/ 5 gavetas 550 mm	48.9	48.9	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Não		
2028	2	PC	1	"Jogo de chave allen hexagonal longa 1,5 a 14 mm "	52.25	52.25	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Não		
2028	3	PC	1	Jogo de chave allen hexagonal 1/16 a 9/16 Belzer	64.9	64.9	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Não		
2028	4	PC	1	jogo de soquete enc. 1/4 de 4 a 13 mm	87	87	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Sim		
2028	5	PC	1	Paquimetro 0 a 200 mm Digimess	159	159	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Sim		
2028	6	PC	2	Roldana de aço carbono 	6.9	13.8	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Não		
2028	7	PC	10	Correia - A46 - American Belt	3.19	31.9	40483	14	30 dias	DDL	FOB	7 dias	5 Dias	Preço desacordo	Sim		
2036	1	PC	1	"Chave para tubo 36"" - Stanley "	230	230	40485	15	Prazo 	DDL	CIF	5 dias 	10 dias 	Preço desacordo	Não		
2008	1	PC	1	Tesoura uso geral 250 mm - Vonder 	11.9	11.9	40485	16	35 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2024	1	Pc	1	Regulador pressão (p/ trabalhos leves e médios) - Condor	231.25	231.25	40486	17	32	DDL	CIF	7 dias	5 dias	Preço desacordo	Não	74 85 601 010 - Osten	
2024	2	Pc	1	Regulador pressão (p/ trabalhos médiso e pesados) - Condor	239.9	239.9	40486	17	32	DDL	CIF	7 dias	5 dias	Preço desacordo	Não	74 85 801 100 - Osten	
2037	1	Pc	1	Conj. Portátil solda/corte Ac Plus - Condor	2420	2420	40486	18	30/60	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2013	1	Pc	1	Cadeado haste longa 35 x 75 - Pado	18.5	18.5	40486	19	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2029	1	Pc	1	chave allen curta 7 mm - Gedore	4.5	4.5	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	2	Pc	1	Chave allen longa 6 mm - Gedore	5.9	5.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	3	Pc	1	Chave allen longa 7 mm - Gedore	7.5	7.5	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	4	Pc	1	Soquete tipo allen 1/2 x 6 mm - Gedore	19.9	19.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	5	Pc	1	Soquete tipo allen 1/2 x 7 mm - Gedore	20.5	20.5	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	6	Pc	1	Cabo força encaixe 1/2 - Gedore	36	36	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	7	Pc	1	Cabo força encaixe 3/8 - Gedore	25.2	25.2	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2029	8	Pc	1	Soquete torx enc 1/2 T 20 - Gedore	17	17	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	9	Pc	1	Soquete torx enc 1/2 T 27 - Gedore	18.9	18.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	10	Pc	1	Soquete torx enc 1/2 T 30 - Gedore	18.9	18.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	11	Pc	1	Soquete torx enc 1/2 T 40 - Gedore	18.9	18.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	12	Pc	1	Soquete torx enc 1/2 T 55 - Gedore	22.5	22.5	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	13	Pc	1	Soquete torx enc 3/8 T 45 - Gedore	36	36	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	14	Pc	1	soquete torx enc 3Q8 T 55 - Gedore	54	54	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	15	Pc	1	Raven 101215 - Alicate p/ abrac. Elastica	39	39	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	16	Pc	1	Raven 102004 - Extrator rolam diam 30 a 52	208.5	208.5	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	17	Pc	1	Raven 108004 - Mini extrator 2 garras	80.6	80.6	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	18	Pc	1	Raven 108005 - Mini extrator 3 garras	101.9	101.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	19	Pc	1	Raven 108038 - Extrator bucha motor arranque	134.6	134.6	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	20	Pc	1	Raven 108511 - Ferramenta 3 pontas paraf sapata	340.2	340.2	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2029	21	Pc	1	Alicate p/ abraç de aço linha Fiat	85.9	85.9	40486	20	30	DDL	CIF	10 dias	5 dias	Concluido	Não		
2008	1	PC	100	Serra manual RS1224 - Starrett	3.42	342	40486	21	35 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2008	2	PC	3	Serra maquina RS2106 - Starrett 	137.9	413.7	40486	21	35 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Não		
2008	3	PC	14	Broca aço rápido 5/16 	7.65	107.1	40486	21	35 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2008	4	PC	8	Chave combinada 5/8 - Gedore 	12.07	96.56	40486	21	35 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2024	1	PC	2	Broca widea 6 mm	5.8	11.6	40486	22	32	DDL	CIF	5 dias	5 dias	Concluido	Sim		
2024	2	PC	2	Broca Widea 8 mm	9.15	18.3	40486	22	32	DDL	CIF	5 dias	5 dias	Concluido	Sim		
2024	3	PC	2	"Broca A.R 1/4"""	4.7	9.4	40486	22	32	DDL	CIF	5 dias	5 dias	Concluido	Sim		
2024	4	PC	2	"Broca A.R 5/16"""	6.1	12.2	40486	22	32	DDL	CIF	5 dias	5 dias	Concluido	Sim		
2024	5	PC	2	"Broca A. R 5/32"""	2.95	5.9	40486	22	32	DDL	CIF	5 dias	5 dias	Concluido	Sim		
2015	1	Pc	200	"Disco corte 4.1/2 X 1,6 - Sait (cod. 95231)"	5.1	1020	40487	23	30/60	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não	Parcial	
2015	2	Pc	100	Disco corte 4.1/2 X 1/8 - Alcar (cod. 1555)	2.5	250	40487	23	30/60	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2015	3	Pc	100	"Disco corte 7 X 1,8 - Sait (cod. 95229)"	7.2	720	40487	23	30/60	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2015	4	Pc	200	Disco corte 7 X 1/8 - Alcar (cod. 1557)	4.05	810	40487	23	30/60	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não	Parcial	
2015	5	Pc	200	"Disco desbaste 7"" - Sait (cod. 95233)"	7.8	1560	40487	23	30/60	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não	Parcial	
2008	1	PC	1	Saca polia 3 garras - 040100 - Gedore	903.7	903.7	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Não		
2008	2	PC	1	Expansor hidrualico 6 T - Marcon	402.1	402.1	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	3	PC	4	Cadeado Pado 50 mm 	17	68	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	4	PC	10	Serra tico tico Starrett BS 324	4.88	48.8	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	5	PC	10	Serra tico tico Starrett BS 314	4.88	48.8	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	6	PC	15	Serra tico tico Starrett BS 38	4.88	73.2	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	7	PC	2	Ferro solda 40W/220V com suporte - Fame 	70.55	141.1	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	8	MT	50	Corda nylon branca 1/2	1.4	70	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	9	JG	1	Soquete enc 1/2 - 3/8  a 1.1/4 - Tramontina Pro 	270	270	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Não		
2008	10	PC	2	"Arco serra com regulagem 12"" - Starrett"	37.05	74.1	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	11	PC	1	"Esquadro Stanley 12"" "	53.27	53.27	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	12	PC	1	Chave tipo corrente C-36 Ridgid	não temos 	não temos 	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Não		
2008	13	PC	5	Macho rosca grossa 3/16 - HT 	15	75	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	14	PC	10	Prumo pedreiro 500 - Ramada	28.65	286.5	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Não		
2008	15	PC	10	Colher pedreiro 9' Pacetta	15.5	155	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Não		
2008	16	PC	10	"Colher pedreiro 7"" Pacetta "	14.2	142	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Não		
2008	17	PC	5	"Torques 13"" - São Romão "	66.65	333.25	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	18	PC	2	Tesoura média sem ponta 	1	1	40487	24	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Fechado Parcial	Sim		
2008	1	PC	1	Saca polia tres garras 040100 - Gedore	903.7	903.7	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Não		
2008	2	PC	1	Expansor hidráulico 6 T - Marcon 	402.1	402.1	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	3	PC	4	Cadeado Pado 50 mm 	17	68	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	4	PC	10	Serra tico-tico BS324 - Starrett	4.88	48.8	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	5	PC	10	Serra tico-tico BS314 - Starrett	4.88	48.8	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	6	PC	10	Serra tico-tico BS38 - Starrett	4.88	48.8	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	7	PC	2	Ferro solda 40W/220V - com suporte	70.55	141.1	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Não		
2008	8	MT	50	Corda nylon 1/2 	1.4	70	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	9	JG	1	Soquete enc 1/2 - 3/8 a 1.1/4 - com catraca e cabo T - Tram. Pro	305.25	305.25	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Não		
2008	10	PC	2	Arco sera com regulagem - Starrett	37.05	74.1	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	11	PC	1	Esquadro Stanley 12 	56.3	56.3	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	12	PC	1	Chave tipo corrente C-36 	1	1	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	13	PC	5	Jogo macho 3/16 - rosca grossa 	15	75	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	14	PC	10	Prumo centro 500g - Ramada 	28.65	286.5	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	15	PC	10	"Colher pedreiro 9"" - Pacetta "	15.5	155	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	16	PC	10	"Colher pedreiro 7"" - Pacetta "	14.19	141.9	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Sim		
2008	17	PC	5	"Torques 13"" - São Romão "	66.65	333.25	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Não		
2008	18	PC	2	Tesoura sem ponta 	1	1	40487	25	35 dias 	DDL	CIF	Imed a 10 dias 	10 dias 	Concluido	Não		
2008	1	PC	6	"Lima chata murça 10"" K&F "	28.5	171	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Não		
2008	2	PC	10	"Lima triangulo 4"" K&F "	10.9	109	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Sim		
2008	3	PC	6	Chave fenda cruzada 1/4 x 6 - Tramontina Pro 	4.93	29.58	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Sim		
2008	4	PC 	4	Broca widia 6 - Vonder 	3.4	13.6	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Sim		
2008	5	PC	6	Broca widia 8 - Vonder 	5.4	32.4	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Sim		
